,artist,title,year,groundtruth,height,width
T07739,N.H. Stubbing (Tony Stubbing),Druid Light,1959,O,1562,1943
N05135,Sine Mackinnon,Farm Buildings in Provence,1934,L,270,410
T11761,Augustus John OM,Dorelia Standing before a Fence,1903,P,2020,1220
N05358,Alfred William Hunt,"Iron Works, Middlesbrough",1865,O,438,641
N05428,Duncan Grant,The Hayrick,1940,L,610,660
T06489,Sir Lawrence Gowing,Wellington Square,1944,O,509,764
T03561,Spencer Gore,The Artist’s Wife,1913,P,765,636
N01485,Thomas Gainsborough,Landscape with a Peasant on a Path,1746,L,222,171
N05336,Ronald Ossory Dunlop,"Rosalind Iden, as Ophelia",1940,P,1010,762
T03220,Sir Roger De Grey,Interior: Exterior,1977,O,1829,889
T01132,Francis Danby,The Wood Nymph’s Hymn to the Rising Sun,1845,L,1073,1524
T01141,John Constable,Susannah Lloyd,1806,P,600,502
T02351,Jacques Laurent Agasse,Lord Rivers’s Groom Leading a Chestnut Hunter towards a Coursing Party in Hampshire,1807,O,660,625
N06084,George Frederic Watts,Miss Mary Kirkpatrick Brunton,1841,P,603,400
T03351,Sir Matthew Smith,Winter in Provence,1937,L,540,654
T03812,Jack Smith,Written Activity No. 7,1969,O,1530,1530
T12848,Thomas Scheibitz,90 Elements,2007,O,1820,3650
N01669,George Romney,"Elizabeth, Countess of Craven, Later Margravine of Anspach",1778,P,673,521
N06227,Claude Rogers,The Blow Lamp,1953,O,622,749
N04873,Sir Henry Raeburn,Pringle Fraser,1804,P,660,552
N05471,Henry Robert Morland,A Girl Singing Ballads by a Paper Lanthorn,1765,P,756,622
T06767,Helen Lessore,Portrait of David Wilkie,1967,P,354,302
T01973,Jacob Kramer,Jews at Prayer,1919,O,876,498
N03272,Sir Godfrey Kneller,The First Marquess of Tweeddale,1695,P,749,635
T00232,Sir Gerald Kelly,The Vicar in his Study,1912,P,1165,965
N00675,Nathaniel Hone,"Mary Hone, the Artist’s Wife",1760,P,289,219
N01550,Albert Goodwin,Shipwreck: Sinbad the Sailor Storing his Raft,1887,L,1245,2007
T07322,Balthasar Denner,A Girl in a Straw Hat,1723,P,766,630
N01072,John Singleton Copley,Study for ‘The Collapse of the Earl of Chatham’,1779,O,635,768
N04578,Charles Conder,Spring by the Sea,1905,O,506,918
N00384,Henry Wyatt,Archimedes,1832,P,759,625
N04595,Sir William Rothenstein,Woman Standing in Doorway,1894,P,813,457
N04506,After Sir Joshua Reynolds,Doctor Johnson Arguing,1770,P,756,629
N01177,Patrick Nasmyth,Landscape,1831,L,502,692
T00601,Jacob More,Falls of Clyde: Stonebyres,1771,L,803,1006
N05072,Jean Marchand,View in the Midi,1913,L,730,603
T03805,Alex Katz,Hiroshi and Marcia,1981,P,1828,2437
T03888,Derek Hill,Sir Frederick Ashton,1964,P,508,609
N04107,Joseph Highmore,A Gentleman in a Brown Velvet Coat,1747,P,1265,1005
N01946,Charles Napier Hemy,London River,1904,L,1206,1829
N05557,Mark Gertler,The Artist’s Mother,1911,P,660,559
N00362,William Etty,Christ Appearing to Mary Magdalene after the Resurrection,1834,O,407,667
T03871,Joseph Mallord William Turner,The Thames near Windsor,1807,L,890,1195
TW0293,Joseph Mallord William Turner,Plompton Rocks,1798,L,1220,1375
T00486,William Townsend,Dungeon Ghyll,1956,O,1372,762
T04874,N.H. Stubbing (Tony Stubbing),First Ritual ‘Christian’,1958,O,1325,1095
N03629,William Strang,Self-Portrait,1919,P,1168,1118
N06141,Philip Wilson Steer,The Church at Montreuil,1907,O,502,610
T03643,Sydney Starr,A Study,1887,P,455,355
T02012,Gilbert Spencer,Self-Portrait,1928,P,356,305
N02260,Charles Sims,The Fountain,1907,O,1022,1276
N03689,Sir William Nicholson,"Lady in Furs, Mme. P.",1907,P,908,705
T07763,John Murphy,The Gathering Anguish Strikes Beneath ...,1982,O,1850,1450
N01182,Charles Robert Leslie,A Scene from Milton’s ‘Comus’,1844,O,328,418
T07615,Sir Godfrey Kneller,The Harvey Family,1721,O,2348,2838
T01888,William Hoare,A Gentleman in Brown,1750,P,765,639
N05415,André Dunoyer de Segonzac,Still Life with a Cabbage,1919,O,730,921
N04412,Charles Conder,By the Sea: Swanage,1901,L,229,305
T07231,Stephen Bone,Little Venice,1952,L,762,1022
T00712,Craigie Aitchison,Model Standing against Blue Wall,1962,O,660,559
N03546,"Unknown artist, Britain",Portrait of a Man,1670,P,756,630
N05543,Joseph Mallord William Turner,"The Rialto, Venice",1820,O,1775,3353
N02695,Joseph Mallord William Turner,Men with Horses Crossing a River,1806,L,879,1184
T07803,Adrian Stokes,Still Life,1959,O,505,707
N03805,Alfred Stevens,Self-Portrait at the Age of 14,1832,P,308,248
N05554,Gilbert Spencer,Blackmore Vale from Compton Abbas,1942,L,660,1016
N06152,Sir Matthew Smith,Woman Reclining,1925,O,597,730
N02994,Sir Walter Russell,Donkeys and Kites,1909,L,762,1016
L03597,Susan Rothenberg,Strangers in the Night,2009,O,2057,2927
T00309,Roderic O’Conor,Iris,1913,O,610,502
N01614,Sir David Murray,My Love has Gone a-Sailing,1883,L,1003,1524
N01565,William James Müller,Caernarvon Castle,1837,L,1016,1524
N01307,Sir Thomas Lawrence,Miss Caroline Fry,1827,P,756,629
T01522,Attributed to James Johnson,The Tranquil Lake: Sunset Seen through a Ruined Abbey,1825,L,902,1441
T03185,Henryk Gotlib,Rembrandt in Heaven,1948,O,1333,1632
T06486,Kathleen Gerrard,Still Life with Yellow Fungus,1936,O,405,510
N05756,Jacques-Emile Blanche,"August Morning, Dieppe Beach",1934,O,730,603
N04959,Samuel John Lamorna Birch,"St Ives, Cornwall",1938,O,508,635
T00054,Johan Zoffany,A Florentine Fruit Stall,1777,O,580,494
N04852,Sir Matthew Smith,Model Turning,1924,P,648,806
N04263,Sir James Jebusa Shannon,Madame Patey,1884,P,1275,889
N03411,Matthew White Ridley,The Pool of London,1862,O,648,914
N04421,David Muirhead,Portrait of a Girl,1922,P,610,460
N03842,James Wilson Morrice,House in Santiago,1915,O,540,648
T11927,Jock McFadyen,Broadway and 7th Avenue Local,1989,P,1226,811
N04825,Benjamin Marshall,The Rev. Edward Cage,1826,P,1003,851
T00930,William Marlow,View on the Thames,1775,L,492,787
T05467,John William Inchbold,"Gordale Scar, Yorkshire",1876,O,1254,913
T01992,Alvaro Guevara,Meraud Guinness Guevara,1930,P,622,464
N01524,Peter Graham,A Rainy Day,1871,L,1168,1803
N05389,Philip James De Loutherbourg,"A Distant Hail-Storm Coming On, and the March of Soldiers with their Baggage",1799,L,1092,1626
N01037,John Crome,Slate Quarries,1802,L,1238,1587
N05108,Sir William Coldstream,Man with a Beard,1939,P,610,406
N01610,Joseph Clark,Early Promise,1877,O,780,634
T00949,Patrick Caulfield,Battlements,1967,O,1524,2743
N05427,Jacques-Emile Blanche,On the Pier at Dieppe,1938,O,502,610
N05669,Dame Ethel Walker,The Zone of Hate: Decoration,1914,O,2476,2464
N05563,Joseph Mallord William Turner,"The Lake, Petworth, Sunrise",1827,L,648,1257
N04955,Philip Wilson Steer,"Bird-nesting, Ludlow",1898,L,571,927
N03213,Sir William Quiller Orchardson,Mrs Charles Moxon,1875,P,1168,838
N04087,Sir William Nicholson,Portrait of a Man of Letters: W.E. Henley,1901,P,375,298
N06168,André Minaux,Arm-chair in an Interior,1951,O,1619,968
N04417,Jean Marchand,Maternity,1921,O,1627,1140
N05705,Frances Macdonald,"Building the Mulberry Harbour, London Docks",1944,L,561,1220
N00439,John Linnell,Landscape(‘The Windmill’),1844,L,381,457
N05097,Augustus John OM,"The Little Railway, Martigues",1928,L,470,546
AR01135,Jenny Holzer,Phase III - Decisive Operations violet,2007,O,2011,2600
N04876,Frank Holl,Portrait of My Mother,1882,P,610,508
N01910,William Collins,Early Morning - Cromer,1845,L,978,1270
N05622,Benjamin West,Sketch for ‘St Paul Shaking off the Viper’,1786,O,1295,724
T06894,Karl Weschke,Pillar of Smoke,1964,O,1727,1295
N02693,Joseph Mallord William Turner,Hampton Court from the Thames,1806,L,857,1200
N01180,Joseph Mallord William Turner,Cliveden on Thames,1807,L,392,590
N00401,David Roberts,"Chancel of the Collegiate Church of St Paul, at Antwerp",1848,O,1419,1118
N05173,Roland Vivian Pitchforth,Night Transport,1939,O,508,762
T06599,Patrick Phillips,Mrs Carter Gifford,1947,P,914,719
N04734,Walter William Ouless,Philip Westlake,1873,P,902,705
T01841,Jeremy Moon,Trellis,1962,O,1384,1067
N03512,John Hoppner,Miss Harriet Cholmondeley,1804,P,1283,1022
N04564,Walter Greaves,Walter Greaves and Alice Greaves on the Embankment,1880,O,305,508
N01825,Thomas Gainsborough,Woody Landscape with Building,1768,L,425,543
T03159,Sheila Fell,"Maryport, Cumbria",1965,L,1019,1270
N01527,Thomas Faed,Highland Mother,1870,P,267,203
T03406,François Desnoyer,Large Port of Sète,1950,O,1140,1619
T01039,Robyn Denny,First Light,1965,O,2438,1981
N02665,David Cox,Moorland Road,1851,L,273,356
N02989,Richard Wilson,"View near the Loggerheads, Denbigh",1765,L,419,521
N05499,Joseph Mallord William Turner,Rocky Coast,1825,L,502,657
TW0956,Joseph Mallord William Turner,"Mouth of the Seine, Quille-Boeuf",1833,L,915,1232
N04561,Philip Wilson Steer,David Croal Thomson,1895,P,765,635
N04676,William Shackleton,Line of Life,1915,O,952,1016
T01999,Elliott Seabrooke,Near Pourville,1920,L,632,759
T00660,William Roberts,The Lake,1964,O,1905,1295
N05795,John Linnell,The Sandpits,1856,L,914,1219
N01413,Sir Thomas Lawrence,Philip Sansom,1805,P,1264,1016
N02895,Richard Jack,Rehearsal with Nikisch,1912,O,1524,2140
T03328,Anthony Gross,La Route de Ste Livrade,1932,L,495,645
N00451,Frederick Goodall,The Tired Soldier Resting at a Roadside Well,1842,O,698,914
T02099,Merlyn Oliver Evans,The Mark of the Beast,1940,O,908,711
N03209,Sir David Cameron,Ben Ledi,1914,L,1265,1120
N00345,Sir Augustus Wall Callcott,Littlehampton Pier,1811,L,1067,1410
N04995,Jacques-Emile Blanche,Francis Poictevin,1887,P,414,314
N06083,George Frederic Watts,"Augusta, Lady Castletown",1846,P,2083,1435
T00501,Keith Vaughan,Rotherhithe,1961,O,762,1219
N05397,"Unknown artist, Britain",Lady Catherine Henry in Turkish Dress,1760,P,743,616
N03382,Joseph Mallord William Turner,Claudian Harbour Scene: Study for ‘Dido Directing the Equipment of the Fleet’,1827,O,600,937
N03803,Philip Wilson Steer,Mrs Raynes,1922,P,686,559
N03325,Charles Ricketts,Deposition from the Cross,1915,O,711,571
N04701,William McTaggart,The Harvest Moon,1899,O,1321,1959
N04447,Ambrose McEvoy,Euphemia,1909,P,730,483
N03033,Flora Lion,My Mother,1909,P,1276,1150
N03583,Sir Peter Lely,Frans Mercurius van Helmont,1670,P,1232,1010
N05109,F. Ernest Jackson,Mrs Beasley,1937,P,533,432
T07122,William Hogarth,"Portrait of Hannah, Daughter of John Ranby Snr",1748,P,635,565
T00499,Derek Hill,Lancashire Slate Quarry,1961,L,635,743
T04129,Jan Griffier I,A Turkey and other Fowl in a Park,1710,O,1146,1390
T03350,Hilde Goldschmidt,The Sphinx,1948,O,610,889
N05124,Mark Gertler,Violin Case and Flowers,1930,O,711,914
N01486,Thomas Gainsborough,Landscape with Figures under a Tree,1746,L,222,171
T05784,Thomas Frye,Henry Crispe of the Custom House,1746,P,1243,1016
N01592,Matthew Ridley Corbet,Morning Glory,1893,L,1245,2032
T07475,Derek Boshier,Shy Cowboy,1980,O,1324,1022
N01357,Ignacio Zuloaga,View of the Escorial,1905,L,292,406
N02647,Richard Wilson,"River View, on the Arno (?)",1760,L,445,546
N01993,Joseph Mallord William Turner,"Sketch for ‘East Cowes Castle, the Regatta Beating to Windward’ No. 3",1827,L,464,724
N05473,Joseph Mallord William Turner,"Italian Landscape, probably Civita di Bagnoregio",1828,L,1499,2496
TW1116,Joseph Mallord William Turner,Fishmarket on the Sands - Hastings (?),1810,L,910,1206
N04379,Alfred Stevens,Miss Emma Pegler,1832,P,533,432
T02265,James Seymour,Chestnut Horse with a Groom near Newmarket,1730,O,660,1045
N01545,James Baker Pyne,"The Mulgrave Alum Works at Sandsend, Yorkshire Coast",1844,L,927,1429
T00602,Victor Pasmore,Portrait of a Jewish Woman,1943,P,508,406
N04883,Herbert A. Olivier,Mrs Edwin Bale,1900,P,508,610
T03833,Sir Thomas Monnington,Trees,1938,L,350,452
N02960,George Robert Lewis,"Hereford, from the Haywood, Noon",1815,L,416,597
N04974,George Lambourn,Portrait of a Communist,1936,P,546,457
T06878,Peter Kinley,Flowers on a Table,1966,O,1375,1830
N04819,Augustus John OM,Lord David Cecil,1935,P,921,718
N04599,Walter Greaves,The Green Dress,1875,P,1930,914
T00421,Patrick George,Natalie Dower,1958,P,1524,1219
N02637,Thomas Gainsborough,Sir William Blackstone,1774,P,762,635
N01395,Sir Charles Lock Eastlake,Mrs Charles H. Bellenden Ker,1835,P,762,635
N02667,David Cox,The Road across the Common,1853,L,190,241
T11750,John Bellany,Homage to David B,2002,O,1015,761
T11834,John Wootton,Viscount Weymouth’s Hunt: A Groom holding a Saddled Grey Hunter with Hounds and Terriers,1733,O,4030,3600
N04886,William Lindsay Windus,"Mrs Teed, the Artist’s Daughter",1880,P,546,457
N00433,Penry Williams,Italian Girl with Tambourine,1837,P,508,406
N01389,George Burrell Willcock,"Chelston Lane, Torquay",1851,L,616,514
N00388,Thomas Uwins,Le Chapeau de Brigand,1839,P,792,578
T03872,Joseph Mallord William Turner,The Thames at Weybridge,1805,L,905,1217
N01994,Joseph Mallord William Turner,"Sketch for ‘East Cowes Castle, the Regatta Beating to Windward’ No. 2",1827,L,457,610
N01995,Joseph Mallord William Turner,"Sketch for ‘East Cowes Castle, the Regatta Beating to Windward’ No. 1",1827,L,298,489
N04462,Philip Wilson Steer,Bathsheba,1919,P,660,508
N05088,Walter Richard Sickert,Rowlandson House - Sunset,1910,L,610,502
N00891,Manner of Sir Joshua Reynolds,Mrs Fox,1780,P,749,622
N01570,Valentine Cameron Prinsep,Ayesha,1887,P,902,698
N04933,Roland Vivian Pitchforth,Floods,1935,L,635,813
N01408,John Opie,Master William Opie,1788,P,521,425
N04781,David Muirhead,The Cornfield,1911,L,614,920
T03395,Sir Edwin Henry Landseer,The Harper,1821,P,912,710
T01891,William James Laidlay,On the Nile,1900,L,406,610
N04957,Harold Knight,A Student,1938,P,610,508
T12029,Sir Godfrey Kneller,"Philip, 4th Lord Wharton",1685,P,2286,1448
N04894,Lily D. Joseph,"Roofs, High Holborn",1937,L,1346,1473
T00688,Edna Ginesi,Everglades,1964,O,1015,1270
T00665,Sir Charles Lock Eastlake,The Colosseum from the Campo Vaccino,1822,L,527,648
T02109,Samuel Colman (or Coleman),The Death of Amelia,1804,O,629,756
T00364,Eugène Carrière,Nelly Carrière,1903,P,460,381
T02028,Richard Carline,Portrait of Hilda Carline,1918,P,762,635
N01960,Edgar Bundy,The Morning of Sedgemoor,1905,O,1524,1264
N02738,Sir Arnesby Brown,Silver Morning,1910,L,1610,1835
T14834,John White Abbott,"Tree Study, Fordland",1825,L,1000,800
N05500,Joseph Mallord William Turner,The Procuress; (?) Judith with the Head of Holofernes,1828,P,1241,914
TW1540,Joseph Mallord William Turner,"Calder Bridge, Cumberland",1810,L,915,1220
N06148,William Townsend,Hop Alleys,1951,O,762,508
N04656,Annie Louisa Swynnerton,Count Zouboff,1908,P,1934,1538
N04746,Sir Walter Russell,The Farmyard,1934,L,502,756
T00196,William Roberts,The Cockatoos,1958,O,813,508
T00560,Peter Rose Pulham,"L’Hôtel Sully, Courtyard with Figures",1944,O,1398,1685
N05227,Charles Mahoney,Outhouses,1940,O,305,356
N01622,Joseph Knight,A Tidal River,1877,L,851,1245
N05927,Cornelius Johnson,Unknown Lady,1659,P,1245,1010
N05936,Augustus John OM,Viscount d’Abernon,1927,P,2290,1550
N03041,Sir Charles John Holmes,The Burning Kiln,1914,L,686,762
T06870,William Hogarth,"Head of a Lady, Called Lady Pembroke",1740,P,628,530
T01854,Roger Hilton,Untitled,1956,O,610,508
N04193,Douglas S. Gray,Rosalind,1924,P,1295,927
T00056,Isaac Fuller,Portrait of an Unknown Man,1660,P,1245,1022
T01065,Sheila Fell,Haystack in a Field,1967,L,711,914
T00235,Jack Clemente,Mineral Efflorescence,1958,O,1457,1137
T01910,George Chinnery,Colonel Woodburn of the Bengal Artillery,1803,P,476,375
T02357,Henry Bernard Chalon,"A Representation of the Persians in the Costume of their Country, Attending at Carlton Palace",1819,O,1010,1441
T01693,William Baziotes,Mammoth,1957,O,1219,1524
N00231,Sir David Wilkie,"Thomas Daniell, R.A.",1838,P,749,629
N01651,George Romney,Mrs Mark Currie,1789,P,1511,1206
T03075,William Roberts,Portrait of a Man Lighting a Pipe,1948,P,514,397
N04851,Madge Oliver,Le Coin de l’Atelier,1920,O,425,368
T07784,"Sir Cedric Morris, Bt",Les Ponts de Ceret,1923,O,651,810
N05083,Arnold Mason,Girl with a Hand-Mirror,1929,P,918,716
T01760,Tess Jaray,Fifteen,1969,O,2235,4318
T13411,Callum Innes,Untitled No 51,2011,O,1250,1210
N02261,Sir Herbert Hughes-Stanton,"A Pasturage among the Dunes, Pas de Calais, France",1908,L,1448,2159
N02765,John Hoppner,A Gale of Wind,1794,O,1321,1829
T02077,Allan Gwynne-Jones,Self-Portrait,1926,P,432,330
T03215,Jeffery Camp,Beachy Head: Brink,1975,O,2432,1502
N06235,Martin Bloch,The Mississippi at Minneapolis,1948,L,711,921
N05668,Dame Ethel Walker,The Zone of Love: Decoration,1930,O,2440,2440
N02878,"Unknown artist, Britain",A Lady of the Horton Family,1655,P,749,622
N02699,Joseph Mallord William Turner,Washing Sheep,1806,L,845,1165
TW1070,Joseph Mallord William Turner,Van Tromp’s Shallop at the Entrance of the Scheldt,1832,L,890,1195
N00465,Joseph Mallord William Turner,"Mountain Scene with Castle, Probably Martigny",1802,L,438,540
T07495,Patrick Symons,Mary Iliff’s Viola Played by Electric Light and Drawn by Gas Light,1974,O,1740,1664
N02473,Philip Wilson Steer,Chepstow Castle,1905,L,765,918
N06011,Ruskin Spear,Mr Hollingbery’s Canary,1950,L,1829,1071
N05030,Charles Shannon,Hermes and the Infant Bacchus,1902,O,1073,1073
N01677,Andrew Maccallum,"Silvery Moments, Burnham Beeches",1885,L,908,1213
T00632,Max Liebermann,Professor Richard Cassirer,1918,P,965,781
T15024,Albert Irvin,Enclosed,1963,O,1525,1268
N04804,Thomas Hudson,Mrs Collier,1744,P,737,610
N05627,Sir Lawrence Gowing,Mrs Roberts,1944,P,406,508
T02260,Spencer Gore,A Singer at the Bedford Music Hall,1912,P,533,432
N05068,Andrew Geddes,Mrs Greatorex,1840,P,1270,1016
N01880,Richard Wilson,George III and the Duke of York,1749,P,1016,1270
N00662,Penry Williams,Neapolitan Peasants at a Fountain,1859,O,1067,1530
N01637,George Frederic Watts,The Spirit of Christianity,1873,O,2730,1524
T07241,Haerman Verelst,"Portrait of a lady, thought to be Dionesse Cullum, wife of Robert Colman",1685,P,750,630
N00466,Joseph Mallord William Turner,View in Wales: Mountain Scene with Village and Castle - Evening,1799,L,581,727
N05510,Joseph Mallord William Turner,Southern Landscape,1828,L,1765,2518
T06641,N.H. Stubbing (Tony Stubbing),Coral Variations (24),1956,O,2007,3226
N05945,Elliott Seabrooke,Old Shipping in Heybridge Basin,1947,L,814,812
T00125,John Singer Sargent,The Plains of Esdraelon,1905,L,711,1105
N00107,Sir Joshua Reynolds,The Banished Lord,1777,P,756,622
N03882,Sir Henry Raeburn,A Young Lady,1795,P,737,616
N04909,Paul Falconer Poole,Sketch for ‘The Death of Cordelia’,1858,O,457,597
N04066,John Opie,Edmund Lenthal Swifte,1802,P,762,635
N04591,Max Liebermann,Memorial Service for Emperor Frederick at Kösen,1888,O,1150,860
N04822,John Frederick Lewis,Buck-Shooting in Windsor Great Park,1825,O,991,1372
N02070,George Dunlop Leslie,The Deserted Mill,1906,L,1194,940
N04065,Frank Holl,"Samuel Cousins, R.A.",1879,P,1270,1010
T14841,Dame Barbara Hepworth,Reclining Figures (St Rémy),1958,O,455,1042
N02974,Maurice Greiffenhagen,Women by a Lake,1914,O,1537,1524
T05850,William Gear,Composition,1949,O,1160,890
N05598,Attributed to William Doughty,Caricature Group,1780,O,775,1041
N05324,Francis Dodd,Ely,1926,L,508,762
T00039,Sir Winston Churchill,"The Loup River, Alpes Maritimes",1936,L,667,767
N00346,Sir Augustus Wall Callcott,Entrance to Pisa from Leghorn,1833,L,1067,1626
T14039,Peter Borseller,Portrait of Katherine Hoby,1670,P,763,641
N03727,Richard Wilson,Francesco Zuccarelli,1751,P,495,419
N04541,George Fiddes Watt,The Artist’s Mother,1910,P,1054,800
TW0070,Joseph Mallord William Turner,Mountain Landscape with a Lake,1799,L,641,988
TW1257,Joseph Mallord William Turner,"A View of the Castle of St Michael, near Bonneville, Savoy",1812,L,929,1238
N02691,Joseph Mallord William Turner,A Thames Backwater with Windsor Castle in the Distance,1805,L,867,1210
T03552,Patrick Symons,Oak Arch Grey (Wimbledon Common),1977,O,892,795
N05290,Philip Wilson Steer,Nutting,1905,L,689,921
T04125,Peter Potworowski,Forest (Cornwall),1954,O,641,764
T07049,Sidney Richard Percy,In Snowdonia,1853,L,552,789
N00394,William Mulready,Fair Time (‘Returning from the Ale-House’),1809,O,787,660
N03200,David Muirhead,The Avenue,1901,O,445,540
T00342,Manner of John Hamilton Mortimer,Rocky Landscape with Banditti,1770,L,502,603
N04118,Bernard Meninsky,Portrait of a Boy,1923,P,914,711
N06203,Jean Marchand,Angelina,1923,P,1003,810
T06595,Peter Kinley,Yellow Flower,1966,O,1524,1270
T02401,Peter Greenham,Father d’Arcy,1975,P,762,521
N05783,Harold Gilman,French Interior,1907,O,615,520
N05344,Richard Eurich,Antwerp,1939,L,1016,1270
T00098,Sir Roger De Grey,Wrotham Hill,1953,L,610,775
N05662,Simon Bussy,Lady Strachey,1905,P,870,743
N04577,Sir Muirhead Bone,Ballantrae School House,1905,L,251,356
N04225,Henry Bishop,A Street in Carrara,1926,O,382,461
N04388,Walter Bayes,The Ford,1917,L,1113,1527
T03543,Henry Anderton,Mountain Landscape with Dancing Shepherd,1650,L,457,597
N04458,Richard Wilson,On Hounslow Heath,1770,L,425,527
N02934,Walter West,"Sunshine, Breeze, and Blossom: Lake Como",1913,O,1016,1283
N05546,Joseph Mallord William Turner,Richmond Hill with Girls Carrying Corn,1819,L,1480,2393
N01028,Henry Singleton,Manto and Tiresias,1792,O,2413,1321
T00222,Walter Richard Sickert,Lady Martin,1935,P,1397,1079
N01384,Patrick Nasmyth,View in the New Forest near Lyndhurst,1815,L,660,870
N04607,John William Buxton Knight,Plymouth Harbour (The Wooden Walls of England),1891,L,978,1455
N03962,Tilly Kettle,Young Man in a Fawn Coat,1772,P,762,629
T11907,Eberhard Havekost,Ghost 1,2004,O,1503,802
N06268,William Etty,Miss Mary Arabella Jay,1819,P,762,632
T14685,John Singleton Copley,The Fountaine Family,1776,P,991,1194
N01966,George Chambers,Dutch East Indiamen Weighing their Anchors,1830,L,952,1365
N00347,Sir Augustus Wall Callcott,Dutch Peasants Waiting the Return of the Passage Boat,1834,L,648,959
N01097,Richard Wilson,Ariccia,1752,L,489,635
N06026,George Frederic Watts,Study of Clouds,1890,L,762,635
N01947,Arthur Wardle,Fate,1904,O,946,1480
N05332,Dame Ethel Walker,Seascape: Autumn Morning,1935,L,641,889
N02705,Joseph Mallord William Turner,Weir and Cattle,1806,L,883,1200
N05484,Joseph Mallord William Turner,Sketch for ‘The Banks of the Loire’,1828,L,489,403
N04657,Joseph Mallord William Turner,Cows in a Landscape with a Footbridge,1805,L,479,711
N03884,Philip Wilson Steer,Painswick Beacon,1915,L,610,914
N05834,John Opie,The Peasant’s Family,1783,O,1537,1835
N06044,William McTaggart,Summer Sundown - Tir-nan-og,1880,L,610,914
T00538,Richard Lindner,Homage to a Cat,1952,P,921,603
T03235,George Robert Lewis,"Harvest Field with Reapers, Haywood, Herefordshire",1815,L,140,195
N00611,Charles Landseer,The Pillaging of a Jew’s House in the Reign of Richard I,1839,O,1537,1965
N05703,Henry Lamb,H.R.H. the Prince of Luxembourg,1944,P,559,457
L03802,Ellsworth Kelly,Blue Black Red,2006,O,3372,1461
N00801,George Jones,"Cawnpore, the Passage of the Ganges at Cawnpore on the 29th and 30th November 1857",1869,L,1092,2083
T03318,Anthony Gross,"Place du Théâtre, Brive-la-Gaillarde",1929,O,813,1000
T01825,Eric Forbes-Robertson,"In the Forest, Pont-Aven",1895,O,686,905
N01525,Thomas Faed,The Silken Gown,1860,O,955,767
T05841,Ian Davenport,Untitled (Drab),1990,O,2135,2135
T03353,David Bomberg,The Baby Diana,1937,P,502,403
N05501,Joseph Mallord William Turner,Two Women with a Letter,1830,P,1219,914
TW0348,Joseph Mallord William Turner,Cilgerran Castle,1799,L,603,742
N05840,John Hamilton Mortimer,IV. The Hero’s Father Blesses his Marriage,1775,O,752,629
T06785,Leonard McComb,Young Woman Holding Duck,1993,P,1524,1092
T00907,Robert MacBryde,Performing Clown,1946,P,705,533
N01428,Rev. Richard Hume Lancaster,A View at Southampton,1817,L,886,1365
T12623,Zebedee Jones,Untitled,1998,O,990,840
T12973,Eberhard Havekost,Infinity 1 and 2,2008,O,1200,1600
N04098,Ronald Gray,My Mother,1908,P,737,610
N03273,Walter Howell Deverell,Eustatia,1853,P,559,356
N00899,Thomas Daniell,"Bridge near Rajmahal, Bihar",1827,L,978,1372
N04414,Philip Connard,Woman on a Balcony,1909,P,610,508
N01955,Hugh Carter,The Last Ray,1878,P,622,737
N01671,Sir William Beechey,Alexander P. Johnstone,1790,P,762,635
N04997,Edward Wolfe,Laugharne Castle,1937,L,777,1124
T04131,Adrian Wiszniewski,Kasmin and Kappo,1985,O,2443,2768
N01254,"Unknown artist, Britain",Hyde Park Corner,1790,O,546,889
N02000,Joseph Mallord William Turner,"Sketch for ‘East Cowes Castle, the Regatta Starting for Their Moorings’ No. 2",1827,L,445,737
N05509,Joseph Mallord William Turner,Outline of a Venus Pudica,1828,O,1356,981
N05511,Joseph Mallord William Turner,A Lady in a Van Dyck Costume,1830,P,1213,911
T03656,Geoffrey Tibble,The Mug,1948,O,370,445
N06021,Gilbert Spencer,"Sashes Meadow, Cookham",1914,L,464,616
N01480,Attributed to Sir Martin Archer Shee,Gilbert Stuart,1788,P,762,634
T00065,George Romney,Midshipman George Cumberland,1775,P,708,549
T01073,Ramsay Richard Reinagle,A Boy Reading,1795,P,766,641
T06535,Allan Ramsay,Portrait of Martha Baker,1739,P,770,640
T06817,André Masson,Riez,1953,O,650,810
N05133,Percy Horton,The Invalid,1934,L,508,406
N01548,Keeley Halswelle,Pangbourne,1881,L,908,1359
N04835,Oliver Hall,Vale of Festiniog,1936,L,559,813
T00008,Sir William Gillies,Esperston,1950,L,356,660
T03422,Abraham Cooper,The Day Family,1838,O,968,1273
N01780,Edward William Cooke,"Canal of the Giudecca, Venice",1867,L,902,1397
N02649,Lionel Bicknell Constable,Near Stoke-by-Nayland,1850,L,356,445
T03597,Richard Carline,Sea Shore,1920,O,940,562
T03287,Karl Weschke,Body on the Beach,1977,O,1730,1299
T01586,Thomas Weaver,"Foxgloves and Brambles, with a Hawk Confronting an Adder",1814,O,1118,943
N03606,William Strang,Self-Portrait,1912,P,610,508
N03193,Philip Wilson Steer,Richmond Castle,1903,L,768,1022
N05272,Charles Spencelayh,Rochester Castle,1895,L,225,610
T00018,William Shayer Senior,A Village Festival,1843,L,902,1086
N05436,Sir William Rothenstein,"The White Cliffs, Vaucottes",1908,L,756,1010
N05553,Sir William Rothenstein,Barnett Freedman,1925,P,756,508
